question,answer,category,hospital
How do I book a orthopedics appointment?,"For Orthopedics appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have radiology services?,"Yes, both hospitals have Radiology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a radiology appointment?,"For Radiology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have emergency medicine services?,"Yes, both hospitals have Emergency Medicine departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a emergency medicine appointment?,"For Emergency Medicine appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have maternity services?,"Yes, both hospitals have Maternity departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a maternity appointment?,"For Maternity appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have surgery services?,"Yes, both hospitals have Surgery departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a surgery appointment?,"For Surgery appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have internal medicine services?,"Yes, both hospitals have Internal Medicine departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a internal medicine appointment?,"For Internal Medicine appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have psychiatry services?,"Yes, both hospitals have Psychiatry departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a psychiatry appointment?,"For Psychiatry appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have dermatology services?,"Yes, both hospitals have Dermatology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a dermatology appointment?,"For Dermatology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have ophthalmology services?,"Yes, both hospitals have Ophthalmology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a ophthalmology appointment?,"For Ophthalmology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have ent services?,"Yes, both hospitals have ENT departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a ent appointment?,"For ENT appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have gynecology services?,"Yes, both hospitals have Gynecology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a gynecology appointment?,"For Gynecology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have urology services?,"Yes, both hospitals have Urology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a urology appointment?,"For Urology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have nephrology services?,"Yes, both hospitals have Nephrology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a nephrology appointment?,"For Nephrology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
Do you have endocrinology services?,"Yes, both hospitals have Endocrinology departments with qualified specialists and modern equipment. Appointment booking required.",departments,both
How do I book a endocrinology appointment?,"For Endocrinology appointments, call the hospital directly or visit in person. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300.",appointment,both
How much does a consultation cost?,"Consultation fees: Nairobi Hospital 3,000-8,000 KSh, Kenyatta National Hospital 500-2,000 KSh. Specialist consultations cost more.",pricing,both
How much does a CT scan cost?,"CT scan costs: Nairobi Hospital 15,000-25,000 KSh, Kenyatta National Hospital 8,000-12,000 KSh. Prices vary by body part scanned.",pricing,both
How much does an MRI cost?,"MRI costs: Nairobi Hospital 25,000-40,000 KSh, Kenyatta National Hospital 15,000-25,000 KSh. Contrast studies cost additional.",pricing,both
How much does childbirth cost?,"Normal delivery: Nairobi Hospital 80,000-120,000 KSh, Kenyatta National Hospital 25,000-40,000 KSh. C-section costs 50-100% more.",pricing,both
How much does surgery cost?,"Surgery costs vary widely. Minor procedures: 50,000-150,000 KSh. Major surgeries: 200,000-800,000 KSh. Get detailed quotes from billing department.",pricing,both
What are the laboratory test costs?,"Basic blood tests: 1,500-5,000 KSh. Comprehensive panels: 8,000-15,000 KSh. Specialized tests cost more. Insurance may cover some tests.",pricing,both
What insurance plans are accepted?,"Both hospitals accept: NHIF, AAR, CIC, Jubilee, Resolution, Madison, APA, Britam. Check with billing department for specific coverage details.",insurance,both
Does NHIF cover treatment costs?,"Yes, NHIF is accepted at both hospitals. Coverage varies by package. Kenyatta National Hospital has more comprehensive NHIF coverage.",insurance,both
What payment methods are accepted?,"Payment methods: Cash, M-Pesa, bank transfers, credit/debit cards, insurance direct billing. Payment plans available for expensive procedures.",payment,both
Can I get a payment plan for expensive treatment?,"Yes, both hospitals offer payment plans for expensive treatments. Contact the billing department to discuss installment options and requirements.",payment,both
What emergency services are available?,"Both hospitals provide 24/7 emergency services including trauma care, cardiac emergencies, stroke treatment, and critical care.",emergency,both
Do you have an ambulance service?,"Yes, both hospitals provide ambulance services. Nairobi Hospital: +254-20-2845000, Kenyatta National: +254-20-2726300. Available 24/7.",emergency,both
What should I do in a medical emergency?,"Call the hospital immediately. Nairobi Hospital: +254-20-2845000, Kenyatta: +254-20-2726300. For life-threatening situations, go directly to emergency department.",emergency,both
What laboratory services are available?,"Both hospitals have comprehensive laboratories. Nairobi Hospital Lab: 24/7. Kenyatta Lab: Mon-Fri 7AM-5PM, Sat 8AM-1PM, Sun emergency only.",laboratory,both
Do you have pharmacy services?,"Yes, both hospitals have 24/7 pharmacies with prescription medications and over-the-counter drugs. Nairobi Hospital offers home delivery service.",pharmacy,both
Is there parking available?,"Yes, both hospitals have parking facilities. Nairobi Hospital has ample parking. Kenyatta National Hospital has limited parking, arrive early.",facilities,both
Do you have blood bank services?,"Yes, both hospitals have blood banks with donation centers. Emergency blood available 24/7. Blood typing and cross-matching services provided.",blood_bank,both
Are there dialysis services?,"Yes, both hospitals have dialysis centers. Hemodialysis and peritoneal dialysis available. Kenyatta National Hospital also performs kidney transplants.",dialysis,both
Do you have cancer treatment services?,Kenyatta National Hospital has a comprehensive cancer center with chemotherapy and radiotherapy. Nairobi Hospital has oncology department with modern facilities.,oncology,both
Are there heart surgery services?,"Yes, both hospitals perform cardiac procedures. Services include cardiac catheterization, bypass surgery, valve repair, and advanced cardiac monitoring.",cardiology,both
Do you have brain surgery services?,"Yes, both hospitals have neurosurgery departments performing brain and spine surgeries, tumor removal, and trauma surgery.",neurosurgery,both
Are there organ transplant services?,Kenyatta National Hospital performs kidney transplants with comprehensive pre and post-transplant care. Donor evaluation services available.,transplant,kenyatta_national
Do you have ICU facilities?,Both hospitals have ICU facilities. Nairobi Hospital: 24-bed ICU. Kenyatta: 30-bed ICU. Specialized cardiac ICU and neonatal ICU available.,icu,both
Does Nairobi Hospital treat diabetes?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Diabetes. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat diabetes at Nairobi Hospital?,"At Nairobi Hospital, Diabetes is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing diabetes.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat diabetes?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Diabetes. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat diabetes at Kenyatta National Hospital?,"At Kenyatta National Hospital, Diabetes is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing diabetes.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat hypertension?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Hypertension. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat hypertension at Nairobi Hospital?,"At Nairobi Hospital, Hypertension is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing hypertension.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat hypertension?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Hypertension. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat hypertension at Kenyatta National Hospital?,"At Kenyatta National Hospital, Hypertension is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing hypertension.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat heart disease?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Heart Disease. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat heart disease at Nairobi Hospital?,"At Nairobi Hospital, Heart Disease is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing heart disease.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat heart disease?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Heart Disease. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat heart disease at Kenyatta National Hospital?,"At Kenyatta National Hospital, Heart Disease is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing heart disease.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat cancer?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Cancer. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat cancer at Nairobi Hospital?,"At Nairobi Hospital, Cancer is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing cancer.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat cancer?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Cancer. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat cancer at Kenyatta National Hospital?,"At Kenyatta National Hospital, Cancer is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing cancer.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat stroke?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Stroke. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat stroke at Nairobi Hospital?,"At Nairobi Hospital, Stroke is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing stroke.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat stroke?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Stroke. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat stroke at Kenyatta National Hospital?,"At Kenyatta National Hospital, Stroke is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing stroke.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat kidney disease?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Kidney Disease. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat kidney disease at Nairobi Hospital?,"At Nairobi Hospital, Kidney Disease is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing kidney disease.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat kidney disease?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Kidney Disease. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat kidney disease at Kenyatta National Hospital?,"At Kenyatta National Hospital, Kidney Disease is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing kidney disease.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat liver disease?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Liver Disease. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat liver disease at Nairobi Hospital?,"At Nairobi Hospital, Liver Disease is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing liver disease.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat liver disease?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Liver Disease. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat liver disease at Kenyatta National Hospital?,"At Kenyatta National Hospital, Liver Disease is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing liver disease.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat asthma?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Asthma. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat asthma at Nairobi Hospital?,"At Nairobi Hospital, Asthma is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing asthma.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat asthma?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Asthma. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat asthma at Kenyatta National Hospital?,"At Kenyatta National Hospital, Asthma is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing asthma.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat copd?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat COPD. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat copd at Nairobi Hospital?,"At Nairobi Hospital, COPD is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing copd.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat copd?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat COPD. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat copd at Kenyatta National Hospital?,"At Kenyatta National Hospital, COPD is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing copd.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat pneumonia?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Pneumonia. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat pneumonia at Nairobi Hospital?,"At Nairobi Hospital, Pneumonia is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing pneumonia.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat pneumonia?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Pneumonia. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat pneumonia at Kenyatta National Hospital?,"At Kenyatta National Hospital, Pneumonia is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing pneumonia.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat malaria?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Malaria. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat malaria at Nairobi Hospital?,"At Nairobi Hospital, Malaria is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing malaria.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat malaria?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Malaria. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat malaria at Kenyatta National Hospital?,"At Kenyatta National Hospital, Malaria is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing malaria.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat tuberculosis?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Tuberculosis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat tuberculosis at Nairobi Hospital?,"At Nairobi Hospital, Tuberculosis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing tuberculosis.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat tuberculosis?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Tuberculosis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat tuberculosis at Kenyatta National Hospital?,"At Kenyatta National Hospital, Tuberculosis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing tuberculosis.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat hiv/aids?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat HIV/AIDS. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat hiv/aids at Nairobi Hospital?,"At Nairobi Hospital, HIV/AIDS is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing hiv/aids.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat hiv/aids?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat HIV/AIDS. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat hiv/aids at Kenyatta National Hospital?,"At Kenyatta National Hospital, HIV/AIDS is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing hiv/aids.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat hepatitis?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Hepatitis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat hepatitis at Nairobi Hospital?,"At Nairobi Hospital, Hepatitis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing hepatitis.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat hepatitis?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Hepatitis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat hepatitis at Kenyatta National Hospital?,"At Kenyatta National Hospital, Hepatitis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing hepatitis.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat typhoid?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Typhoid. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat typhoid at Nairobi Hospital?,"At Nairobi Hospital, Typhoid is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing typhoid.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat typhoid?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Typhoid. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat typhoid at Kenyatta National Hospital?,"At Kenyatta National Hospital, Typhoid is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing typhoid.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat dengue fever?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Dengue Fever. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat dengue fever at Nairobi Hospital?,"At Nairobi Hospital, Dengue Fever is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing dengue fever.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat dengue fever?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Dengue Fever. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat dengue fever at Kenyatta National Hospital?,"At Kenyatta National Hospital, Dengue Fever is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing dengue fever.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat meningitis?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Meningitis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat meningitis at Nairobi Hospital?,"At Nairobi Hospital, Meningitis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing meningitis.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat meningitis?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Meningitis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat meningitis at Kenyatta National Hospital?,"At Kenyatta National Hospital, Meningitis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing meningitis.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat appendicitis?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Appendicitis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat appendicitis at Nairobi Hospital?,"At Nairobi Hospital, Appendicitis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing appendicitis.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat appendicitis?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Appendicitis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat appendicitis at Kenyatta National Hospital?,"At Kenyatta National Hospital, Appendicitis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing appendicitis.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat gallstones?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Gallstones. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat gallstones at Nairobi Hospital?,"At Nairobi Hospital, Gallstones is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing gallstones.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat gallstones?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Gallstones. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat gallstones at Kenyatta National Hospital?,"At Kenyatta National Hospital, Gallstones is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing gallstones.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat arthritis?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Arthritis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat arthritis at Nairobi Hospital?,"At Nairobi Hospital, Arthritis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing arthritis.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat arthritis?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Arthritis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
What specialists treat arthritis at Kenyatta National Hospital?,"At Kenyatta National Hospital, Arthritis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing arthritis.",medical_specialists,kenyatta_national
Does Nairobi Hospital treat osteoporosis?,"Yes, Nairobi Hospital has specialists and facilities to diagnose and treat Osteoporosis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,nairobi_hospital
What specialists treat osteoporosis at Nairobi Hospital?,"At Nairobi Hospital, Osteoporosis is treated by our qualified specialists in the relevant department. We have experienced doctors with specialized training in managing osteoporosis.",medical_specialists,nairobi_hospital
Does Kenyatta National Hospital treat osteoporosis?,"Yes, Kenyatta National Hospital has specialists and facilities to diagnose and treat Osteoporosis. Our medical team provides comprehensive care with modern equipment and evidence-based treatments.",medical_conditions,kenyatta_national
