title,price,location,url,description
"The D10 SMART commercial and heavy industrial sliding gate motor – is suitable for gates weighing up...Nairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"The D10 SMART commercial and heavy industrial sliding gate motor – is suitable for gates weighing up...Nairobi, Nairobi Central"
The D10 SMART commercial and heavy industrial sliding gate motor – is suitable for gates weighing up...,,,,The D10 SMART commercial and heavy industrial sliding gate motor – is suitable for gates weighing up...
Intelligent Wifi Ptz Solar Powered Cctv,"KSh 15,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/security-and-surveillance/intelligent-wifi-ptz-solar-powered-cctv-rgf8KeorQGZqA7h3mMp6tPyv.html?page=58&pos=1&cur_pos=1&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=0,"Sort by:SortVerified IDKSh 15,000Intelligent Wifi Ptz Solar Powered CctvAbout this item this fits your . make sure this fits by entering your model number. 【powerful...Nairobi, Nairobi CentralKSh 74,0"
"About this item this fits your . make sure this fits by entering your model number. 【powerful...Nairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"About this item this fits your . make sure this fits by entering your model number. 【powerful...Nairobi, Nairobi Central"
About this item this fits your . make sure this fits by entering your model number. 【powerful...,,,,About this item this fits your . make sure this fits by entering your model number. 【powerful...
Jmary Mw-15 Dual Type-C Wireless Microphone,"KSh 6,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/jmary-mw-15-dual-type-c-wireless-microphone-n2gzBKeP0EtLq6Z0BFgkxFP2.html?page=58&pos=7&cur_pos=7&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=6,"KSh 6,000Jmary Mw-15 Dual Type-C Wireless MicrophoneThe Type-C interface is suitable for most laptops, desktops, smartphones and other standard Android...Brand NewNairobi, Nairobi Central"
"The Type-C interface is suitable for most laptops, desktops, smartphones and other standard Android...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"The Type-C interface is suitable for most laptops, desktops, smartphones and other standard Android...Brand NewNairobi, Nairobi Central"
"The Type-C interface is suitable for most laptops, desktops, smartphones and other standard Android...",,,,"The Type-C interface is suitable for most laptops, desktops, smartphones and other standard Android..."
Sony Hifi Remote,"KSh 1,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/sony-hifi-remote-5Ef2LhxG65uV1JZXXXaTOpuL.html?page=58&pos=10&cur_pos=10&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=9,"KSh 1,000Sony Hifi RemoteBrand new replacement Sony Hifi remote control.
 Easy to operate.
 No resetting required 
...Nairobi, Nairobi Central"
Brand new replacement Sony Hifi remote control.,,"Nairobi, Nairobi Central",,"Brand new replacement Sony Hifi remote control.
 Easy to operate.
 No resetting required 
...Nairobi, Nairobi Central"
Jabra Evolve 40 MS Stereo Headset,"KSh 14,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/headphones/jabra-evolve-40-ms-stereo-headset-9Sz4tCvplLbewzYuPjyeDMyT.html?page=58&pos=13&cur_pos=13&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=12,"KSh 14,500Jabra Evolve 40 MS Stereo HeadsetJabra Evolve 40 MS Stereo HeadsetBrand NewNairobi, Nairobi Central"
"Jabra Evolve 40 MS Stereo HeadsetBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Jabra Evolve 40 MS Stereo HeadsetBrand NewNairobi, Nairobi Central"
"2 in 1 Wifi Bluetooth Dongle Adapter, Wifi Bluetooth Adapter",KSh 797,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/2-in-1-wifi-bluetooth-dongle-adapter-wifi-bluetooth-adapter-a37YXOLzzNxPxfI4j1MbiKiw.html?page=58&pos=16&cur_pos=16&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=15,"Verified IDKSh 7972 in 1 Wifi Bluetooth Dongle Adapter, Wifi Bluetooth AdapterBluetooth and WiFi Adapter for PC/Laptop/Desktop, WiFi Bluetooth Dongle 2 in 1. all computer and...Brand NewNairobi, Nairo"
KSh 797,KSh 797,,,KSh 797
"Bluetooth and WiFi Adapter for PC/Laptop/Desktop, WiFi Bluetooth Dongle 2 in 1. all computer and...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Bluetooth and WiFi Adapter for PC/Laptop/Desktop, WiFi Bluetooth Dongle 2 in 1. all computer and...Brand NewNairobi, Nairobi Central"
"Bluetooth and WiFi Adapter for PC/Laptop/Desktop, WiFi Bluetooth Dongle 2 in 1. all computer and...",,,,"Bluetooth and WiFi Adapter for PC/Laptop/Desktop, WiFi Bluetooth Dongle 2 in 1. all computer and..."
"Lenovo E120, E130, E220, X121, X130, X121E, X131 Keyboard","KSh 2,499","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/lenovo-e120-e130-e220-x121-x130-x121e-x131-keyboard-n6GxfEkzjNz2aEulW1s63ash.html?page=58&pos=19&cur_pos=19&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=18,"Verified IDKSh 2,499Lenovo E120, E130, E220, X121, X130, X121E, X131 KeyboardLenovo e120, e130, e135, e220, x121, x130, x131, x121e, x130e keyboard
all laptop battery, chargers,...Brand NewNairobi, Na"
"Lenovo e120, e130, e135, e220, x121, x130, x131, x121e, x130e keyboard",,"Nairobi, Nairobi Central",,"Lenovo e120, e130, e135, e220, x121, x130, x131, x121e, x130e keyboard
all laptop battery, chargers,...Brand NewNairobi, Nairobi Central"
Yamaha Power Amplifier P7000,"KSh 42,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/yamaha-power-amplifier-p7000-v2WZLmMf4DRuQQDe3e1K4UlM.html?page=58&pos=22&cur_pos=22&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=21,"KSh 42,000Yamaha Power Amplifier P7000Professional-quality power in a wide range of configurations designed to suit a variety of...Brand NewNairobi, Nairobi Central"
"KSh 42,000","KSh 42,000",,,"KSh 42,000"
"Professional-quality power in a wide range of configurations designed to suit a variety of...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Professional-quality power in a wide range of configurations designed to suit a variety of...Brand NewNairobi, Nairobi Central"
Professional-quality power in a wide range of configurations designed to suit a variety of...,,,,Professional-quality power in a wide range of configurations designed to suit a variety of...
Tv Wall Bracket,KSh 700,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/tv-wall-bracket-fTMxuCOpJuenuLS8vb3nYh9a.html?page=58&pos=2&cur_pos=2&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=1,"KSh 700Tv Wall BracketTilting tv wall bracket 15""-55""
Shop at CBD junction of luthuli avenue and mfangano street rware hse...Nairobi, Nairobi Central"
"Tilting tv wall bracket 15""-55""",,"Nairobi, Nairobi Central",,"Tilting tv wall bracket 15""-55""
Shop at CBD junction of luthuli avenue and mfangano street rware hse...Nairobi, Nairobi Central"
Canon R10 Kit 18-150mm,"KSh 160,000","Nairobi, Parklands/Highridge",https://jiji.co.ke/parklands-highridge/cameras-video-cameras-and-accessories/canon-r10-kit-18-150mm-yw0yub3pxLWuLpkmu75PNTVs.html?page=58&pos=5&cur_pos=5&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=4,"Verified IDDIAMONDKSh 160,000Canon R10 Kit 18-150mmEOS R10: Compact and Capable, for Content Creators
Emphasizing portability without sacrificing on...Brand NewNairobi, Parklands/Highridge"
"KSh 160,000","KSh 160,000",,,"KSh 160,000"
"EOS R10: Compact and Capable, for Content Creators",,"Nairobi, Parklands/Highridge",,"EOS R10: Compact and Capable, for Content Creators
Emphasizing portability without sacrificing on...Brand NewNairobi, Parklands/Highridge"
USB Connector(Female-Female),KSh 100,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/usb-connector-female-female-1vaIRfUgVajpSjzXPXJGcykr.html?page=58&pos=8&cur_pos=8&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=7,"KSh 100USB Connector(Female-Female)We are on Accra Road at the Embassava Stage. Cookie House, 1st floor shop 112Brand NewNairobi, Nairobi Central"
Logitech Rally Mic Pod - Graphite,"KSh 37,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/logitech-rally-mic-pod-graphite-u4fYBIqDIYuS7ymAXQZWCQTW.html?page=58&pos=11&cur_pos=11&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=10,"Verified IDKSh 37,999Logitech Rally Mic Pod - GraphiteKey Features
 Handles up to 10 Participants
 Low-Profile Design
 RightSound Tech for Noise...Brand NewNairobi, Nairobi Central"
"KSh 37,999","KSh 37,999",,,"KSh 37,999"
Key Features,,"Nairobi, Nairobi Central",,"Key Features
 Handles up to 10 Participants
 Low-Profile Design
 RightSound Tech for Noise...Brand NewNairobi, Nairobi Central"
Seagate Desktop Internal HDD 2TB Barracuda,"KSh 6,299","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-hardware/seagate-desktop-internal-hdd-2tb-barracuda-cEoVt0Q196SMrbSQRcfX6v6E.html?page=58&pos=14&cur_pos=14&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=13,"KSh 6,299Seagate Desktop Internal HDD 2TB BarracudaBrand new
free delivery within CBD
ORIGINALBrand NewNairobi, Nairobi Central"
"KSh 6,299","KSh 6,299",,,"KSh 6,299"
Usb 2.0 Wifi Adapter 300mbps,KSh 489,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/usb-2-0-wifi-adapter-300mbps-2SEP2HZ4q2DCfGBVw3cvDVt.html?page=58&pos=17&cur_pos=17&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=16,"Verified IDKSh 489Usb 2.0 Wifi Adapter 300mbpsWifi adapter, bluetooth adapter, all laptop battery, chargers, keyboards, screens, wireless mouse...Brand NewNairobi, Nairobi Central"
KSh 489,KSh 489,,,KSh 489
"Wifi adapter, bluetooth adapter, all laptop battery, chargers, keyboards, screens, wireless mouse...Brand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Wifi adapter, bluetooth adapter, all laptop battery, chargers, keyboards, screens, wireless mouse...Brand NewNairobi, Nairobi Central"
"Wifi adapter, bluetooth adapter, all laptop battery, chargers, keyboards, screens, wireless mouse...",,,,"Wifi adapter, bluetooth adapter, all laptop battery, chargers, keyboards, screens, wireless mouse..."
Winford 2A80 2 Way Speaker Crossover,"KSh 2,800","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/winford-2a80-2-way-speaker-crossover-nNeyUuTgyMiWAcJ6eBn3X.html?page=58&pos=20&cur_pos=20&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=19,"Verified IDKSh 2,800Winford 2A80 2 Way Speaker CrossoverNew Winford 2A80 2 Way Speaker Crossover now availableBrand NewNairobi, Nairobi Central"
"New Winford 2A80 2 Way Speaker Crossover now availableBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"New Winford 2A80 2 Way Speaker Crossover now availableBrand NewNairobi, Nairobi Central"
New Winford 2A80 2 Way Speaker Crossover now available,,,,New Winford 2A80 2 Way Speaker Crossover now available
RCF Bass Speaker 15 Inches,"KSh 13,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/rcf-bass-speaker-15-inches-iEXuxJb8L5c5IZkHpZLeyofJ.html?page=58&pos=23&cur_pos=23&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=22,"Verified IDENTERPRISEKSh 13,000RCF Bass Speaker 15 InchesRcf 15 inches midbass or bass speaker availableBrand NewNairobi, Nairobi Central"
"Rcf 15 inches midbass or bass speaker availableBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Rcf 15 inches midbass or bass speaker availableBrand NewNairobi, Nairobi Central"
Rcf 15 inches midbass or bass speaker available,,,,Rcf 15 inches midbass or bass speaker available
13.5 MHZ Mifare Classic RFID Cards,KSh 150,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/security-and-surveillance/13-5-mhz-mifare-classic-rfid-cards-phfUUz4Vs0VTsvGSyDQKe7W8.html?page=58&pos=3&cur_pos=3&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=2,"KSh 15013.5 MHZ Mifare Classic RFID CardsBlank On Both Sides: The MIFARE 1K white cards with chip feature a blank design on both sides,...Nairobi, Nairobi Central"
"Blank On Both Sides: The MIFARE 1K white cards with chip feature a blank design on both sides,...Nairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Blank On Both Sides: The MIFARE 1K white cards with chip feature a blank design on both sides,...Nairobi, Nairobi Central"
"Blank On Both Sides: The MIFARE 1K white cards with chip feature a blank design on both sides,...",,,,"Blank On Both Sides: The MIFARE 1K white cards with chip feature a blank design on both sides,..."
Hp GT 5820 (With Inktank),"KSh 11,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/hp-gt-5820-with-inktank-wjuAiYlVpkxJiPYD0TNjWN3h.html?page=58&pos=6&cur_pos=6&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=5,"KSh 11,000Hp GT 5820 (With Inktank)Perfectly working 3in1 printerInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
"Perfectly working 3in1 printerInk-Jet PrinterRefurbishedNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Perfectly working 3in1 printerInk-Jet PrinterRefurbishedNairobi, Nairobi Central"
Perfectly working 3in1 printer,,,,Perfectly working 3in1 printer
Epson M200 (B W High Speed),"KSh 15,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/epson-m200-b-w-high-speed-xnoFxulDEwqrqNWrZTgXh1IB.html?page=58&pos=9&cur_pos=9&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=8,"KSh 15,000Epson M200 (B W High Speed)Laser printing speed, has a ink container thus cutting printing cost by more than 80%Ink-Jet PrinterRefurbishedNairobi, Nairobi Central"
"Laser printing speed, has a ink container thus cutting printing cost by more than 80%Ink-Jet PrinterRefurbishedNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Laser printing speed, has a ink container thus cutting printing cost by more than 80%Ink-Jet PrinterRefurbishedNairobi, Nairobi Central"
"Laser printing speed, has a ink container thus cutting printing cost by more than 80%",,,,"Laser printing speed, has a ink container thus cutting printing cost by more than 80%"
"Lexar 2tb 2.5"" Sata","KSh 12,499","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-hardware/lexar-2tb-2-5-sata-AZjlOqZJ9GFeG59KrPIb8t75.html?page=58&pos=12&cur_pos=12&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=11,"Verified IDKSh 12,499Lexar 2tb 2.5"" SataLexar ns100 2.5” sata 2tb internal ssd - lns100-2trbBrand NewNairobi, Nairobi Central"
"Lexar ns100 2.5” sata 2tb internal ssd - lns100-2trbBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Lexar ns100 2.5” sata 2tb internal ssd - lns100-2trbBrand NewNairobi, Nairobi Central"
Lexar ns100 2.5” sata 2tb internal ssd - lns100-2trb,,,,Lexar ns100 2.5” sata 2tb internal ssd - lns100-2trb
Wired Headphones With Microphone,KSh 699,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/headphones/wired-headphones-with-microphone-8pdpZAVhxFmb8vDjdWjIHwp3.html?page=58&pos=15&cur_pos=15&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=14,"KSh 699Wired Headphones With MicrophoneBrand new
free delivery within cbdBrand NewNairobi, Nairobi Central"
Sennheiser Wireless Microphone,"KSh 18,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/sennheiser-wireless-microphone-a5mU0zdmXRgJfaCKoekHqC6t.html?page=58&pos=18&cur_pos=18&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=17,"KSh 18,000Sennheiser Wireless Microphonenew sennheiser wireless microphone 
distance coverage 200metersBrand NewNairobi, Nairobi Central"
new sennheiser wireless microphone,,"Nairobi, Nairobi Central",,"new sennheiser wireless microphone 
distance coverage 200metersBrand NewNairobi, Nairobi Central"
"Lenovo Usb Laptop Adapter 20V, 3.25A 65W, Lenovo Usb Charger",KSh 699,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/lenovo-usb-laptop-adapter-20v-3-25a-65w-lenovo-usb-charger-64RPOREa8jpe0rz47fGJGLdA.html?page=58&pos=21&cur_pos=21&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=20,"Verified IDKSh 699Lenovo Usb Laptop Adapter 20V, 3.25A 65W, Lenovo Usb ChargerLenovo usb laptop adapter 20v, 3.25a 65w, lenovo usb charger
all laptop chargers, battery, computer...Brand NewNairobi, Na"
60 Transistor Crest Audio 18 Amplifier,"KSh 68,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/60-transistor-crest-audio-18-amplifier-yLlwBxqDQXME3gpOlzNVXPR.html?page=58&pos=24&cur_pos=24&ads_per_page=24&ads_count=263478&lid=hy3ugtWXdv7afwGA&indexPosition=23,"Verified IDKSh 68,00060 Transistor Crest Audio 18 AmplifierNew 60 Transistor Crest Audio 18 Amplifier now availableBrand NewNairobi, Nairobi Central"
"KSh 68,000","KSh 68,000",,,"KSh 68,000"
"New 60 Transistor Crest Audio 18 Amplifier now availableBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"New 60 Transistor Crest Audio 18 Amplifier now availableBrand NewNairobi, Nairobi Central"
New 60 Transistor Crest Audio 18 Amplifier now available,,,,New 60 Transistor Crest Audio 18 Amplifier now available
"HP Elitebook 810 G1, 810 G2, 810 G3, Adapter Charger Big Pin",KSh 697,"Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/hp-elitebook-810-g1-810-g2-810-g3-adapter-charger-big-pin-mFs6eKtKJfJVk380vuwD0plL.html?page=59&pos=1&cur_pos=1&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=0,"Sort by:SortVerified IDKSh 697HP Elitebook 810 G1, 810 G2, 810 G3, Adapter Charger Big PinHP Elitebook 810 G1, 810 G2, 810 G3, Adapter Charger Big Pin
All laptop battery, chargers,...Brand NewNairobi,"
Canon Ts3440 Printer//Ts3440 Canon Printer,"KSh 8,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/canon-ts3440-printer-ts3440-canon-printer-iN3RepCOoKnYbQMpkzeMFLeB.html?page=59&pos=7&cur_pos=7&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=6,"Verified IDKSh 8,999Canon Ts3440 Printer//Ts3440 Canon PrinterCanono Ts3440 availableLaser PrinterBrand NewNairobi, Nairobi Central"
"Canono Ts3440 availableLaser PrinterBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Canono Ts3440 availableLaser PrinterBrand NewNairobi, Nairobi Central"
Canono Ts3440 available,,,,Canono Ts3440 available
Camera Tripod Weifeng,"KSh 3,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/camera-tripod-weifeng-C9I9m3hmaqc1dLuPN8Qur6Q.html?page=59&pos=10&cur_pos=10&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=9,"KSh 3,500Camera Tripod WeifengIt is 1.8mtrs.can hold weight upto 3kgNairobi, Nairobi Central"
"It is 1.8mtrs.can hold weight upto 3kgNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"It is 1.8mtrs.can hold weight upto 3kgNairobi, Nairobi Central"
It is 1.8mtrs.can hold weight upto 3kg,,,,It is 1.8mtrs.can hold weight upto 3kg
HP 85A(CE285A) Laserjet Toner Cartridge,"KSh 2,500","Uasin Gishu, Eldoret CBD",https://jiji.co.ke/kimumu/accessories-and-supplies-for-electronics/hp-85a-ce285a-laserjet-toner-cartridge-591oQlDEcwct8K3DassvZqFh.html?page=59&pos=13&cur_pos=13&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=12,"Verified IDKSh 2,500HP 85A(CE285A) Laserjet Toner CartridgePage yield;1,600 pages
compatible printers
hp laserjet pro p1102w; hp laserjet pro m1212nf...Uasin Gishu, Eldoret CBD"
"Page yield;1,600 pages",,"Uasin Gishu, Eldoret CBD",,"Page yield;1,600 pages
compatible printers
hp laserjet pro p1102w; hp laserjet pro m1212nf...Uasin Gishu, Eldoret CBD"
8port Hdmi Splitter,"KSh 2,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/8port-hdmi-splitter-gijcD1swt1IVYZrzOqmNw8g9.html?page=59&pos=16&cur_pos=16&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=15,"KSh 2,5008port Hdmi SplitterIt is 8 way hdmi splitter 4KBrand NewNairobi, Nairobi Central"
"It is 8 way hdmi splitter 4KBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"It is 8 way hdmi splitter 4KBrand NewNairobi, Nairobi Central"
It is 8 way hdmi splitter 4K,,,,It is 8 way hdmi splitter 4K
Cf410a/Cf413a Toner,"KSh 4,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/cf410a-cf413a-toner-O39LxwYtdQZOr1K7BLGWas4.html?page=59&pos=19&cur_pos=19&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=18,"Verified IDKSh 4,500Cf410a/Cf413a TonerFor use in the following printers:
hp color laserjet pro m452dn
hp color laserjet pro m452nw
hp...Nairobi, Nairobi Central"
Call of Duty Modern Warfare [2019] (PS4) Game - New,"KSh 4,999","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/videogames/call-of-duty-modern-warfare-2019-ps4-game-new-8C4ePxmDRR9c0uQmCfcy1CL7.html?page=59&pos=22&cur_pos=22&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=21,"Verified IDKSh 4,999Call of Duty Modern Warfare [2019] (PS4) Game - NewMain highlights:
•experience the global phenomenon. the stakes have never been higher as players...ActionBrand NewNairobi, Nairob"
Main highlights:,,"Nairobi, Nairobi Central",,"Main highlights:
•experience the global phenomenon. the stakes have never been higher as players...ActionBrand NewNairobi, Nairobi Central"
RCF 15 Inches Bass Speaker,"KSh 14,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/rcf-15-inches-bass-speaker-5nyOYBkKQegp907K8ubtrGiK.html?page=59&pos=2&cur_pos=2&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=1,"KSh 14,000RCF 15 Inches Bass SpeakerRcf 15 inches bass speakerBrand NewNairobi, Nairobi Central"
"Rcf 15 inches bass speakerBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Rcf 15 inches bass speakerBrand NewNairobi, Nairobi Central"
Hp Elitebook 6460b/8460p/8470p Keyboard,"KSh 1,498","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/computer-accessories/hp-elitebook-6460b-8460p-8470p-keyboard-q7azyf2FBWmNzKPn9tpfhNwZ.html?page=59&pos=5&cur_pos=5&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=4,"KSh 1,498Hp Elitebook 6460b/8460p/8470p KeyboardElitebook 6460b/8460p/8470p keyboardBrand NewNairobi, Nairobi Central"
"Elitebook 6460b/8460p/8470p keyboardBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Elitebook 6460b/8460p/8470p keyboardBrand NewNairobi, Nairobi Central"
Elitebook 6460b/8460p/8470p keyboard,,,,Elitebook 6460b/8460p/8470p keyboard
Ricoh Aficio Mp 2501 Photocopier Machine,"KSh 50,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/printers-and-scanners/ricoh-aficio-mp-2501-photocopier-machine-z5n0wVIiuaFafBLvnYNQDfCJ.html?page=59&pos=8&cur_pos=8&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=7,"KSh 50,000Ricoh Aficio Mp 2501 Photocopier MachineRicoh aficio mp 2501 photocopier machineLaser PrinterRefurbishedNairobi, Nairobi Central"
"Ricoh aficio mp 2501 photocopier machineLaser PrinterRefurbishedNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Ricoh aficio mp 2501 photocopier machineLaser PrinterRefurbishedNairobi, Nairobi Central"
For Funeral Services We Offer Best TV Set Ups for All Events,"KSh 4,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/tv-dvd-equipment/for-funeral-services-we-offer-best-tv-set-ups-for-all-events-tATv54lej3BfKJZxNdArIIax.html?page=59&pos=11&cur_pos=11&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=10,"Verified IDKSh 4,500For Funeral Services We Offer Best TV Set Ups for All EventsFor all Funeral services we do set ups for Tv this becomes easy for the crowd to follow the service...50inches1080p (Ful"
"For all Funeral services we do set ups for Tv this becomes easy for the crowd to follow the service...50inches1080p (FullHD)Nairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"For all Funeral services we do set ups for Tv this becomes easy for the crowd to follow the service...50inches1080p (FullHD)Nairobi, Nairobi Central"
For all Funeral services we do set ups for Tv this becomes easy for the crowd to follow the service...,,,,For all Funeral services we do set ups for Tv this becomes easy for the crowd to follow the service...
Leather Type Photo Album 400 (4*6)Size,"KSh 1,500","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/accessories-and-supplies-for-electronics/leather-type-photo-album-400-4-6-size-6AZrzRcz7z5vajgyfkF5NCjV.html?page=59&pos=14&cur_pos=14&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=13,"Verified IDKSh 1,500Leather Type Photo Album 400 (4*6)Size-4*6 Inch 400 Sheets Leather Photo Album
- Insert pocket design, easy access to photos
- The side...Nairobi, Nairobi Central"
-4*6 Inch 400 Sheets Leather Photo Album,,"Nairobi, Nairobi Central",,"-4*6 Inch 400 Sheets Leather Photo Album
- Insert pocket design, easy access to photos
- The side...Nairobi, Nairobi Central"
We Deliver Countrywide Quality Sound System at Affordable,"KSh 20,000","Nairobi, Nairobi Central",https://jiji.co.ke/nairobi-central/audio-and-music-equipment/we-deliver-countrywide-quality-sound-system-at-affordable-BaB4fXU6EvizCKZvtEkPrhJ.html?page=59&pos=17&cur_pos=17&ads_per_page=24&ads_count=263478&lid=xC3wait4SRYMTxnj&indexPosition=16,"Verified IDKSh 20,000We Deliver Countrywide Quality Sound System at AffordableOur sound is super good. Very clear at affordable costsBrand NewNairobi, Nairobi Central"
"Our sound is super good. Very clear at affordable costsBrand NewNairobi, Nairobi Central",,"Nairobi, Nairobi Central",,"Our sound is super good. Very clear at affordable costsBrand NewNairobi, Nairobi Central"
Our sound is super good. Very clear at affordable costs,,,,Our sound is super good. Very clear at affordable costs
